smiles,pIC50
CC1=C2CC[C@@](C)(O)[C@@H]2[C@H]2OC(=O)[C@@H](CN(C)CCCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)[C@@H]2CC1,5.64
CC1=C2CC[C@@](C)(O)[C@@H]2[C@H]2OC(=O)[C@@H](CN(C)CCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)[C@@H]2CC1,5.77
CCC1(c2cc(S(=O)(=O)NC(=O)Cc3c4c(cc5c3CCC5)CCC4)nn2C(C)C)COC1,5.3
CCC1(c2cc(S(=O)(=O)NC(=O)Cc3c4c(cc5c3CCC5)CCC4)nn2C2CC2)COC1,5.3
CCCC(=O)OC[C@@H]1C=CC(=O)CO1,5.44
CCCCCCCC(=O)OC[C@@H]1C=CC(=O)CO1,5.29
CCCCCN1C(=O)/C(=C2\SC(=S)N(Cc3ccco3)C2=O)c2cc(Br)ccc21,6.52
CCCCNC(=O)c1cccc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)c1,7.08
CCCCOc1cccc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)c1,6.54
CCCCS(=O)(=O)N(c1ccc2c(c1)N(S(C)(=O)=O)CCC2)S(=O)(=O)CCCC,4.83
CCCNC(=O)/C(=C/c1ccc(Cl)cc1)CS(=O)(=O)CCC#N,5.16
CCCNS(=O)(=O)c1ccc(-c2ccccc2N(Cc2cc(Cl)ccc2OCCC)C(=O)Cc2ccsc2)cc1,6.24
CCCNS(=O)(=O)c1ccc(-c2ccccc2N(Cc2ccc(C(F)(F)F)cc2)C(=O)Cc2ccsc2)cc1,6.24
CCCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1cccc(F)c1,6.47
CCCc1ccc(CC(=O)Nc2cccc(O)c2)cc1,5.66
CCCc1nn(CC(=O)Nc2cccnc2)c(=O)c2cc3sccc3n12,5.279999999999999
CCN1CCC[C@@H](N2CCCc3cc(-c4c(C)cc(C#N)cc4O)nnc32)C1,8.32
CCN1CCC[C@@H](N2CCOc3cc(-c4c(C)cc(C#N)cc4O)nnc32)C1.O=CO,8.47
CCN1CCC[C@@H](Nc2cc(C)c(-c3ccc(C#N)cc3O)nn2)C1.O=CO,8.5
CCN1CCC[C@@H](Nc2ccc(-c3c(C)cc(C#N)cc3O)nn2)C1,8.63
CCN1CCC[C@@H](Nc2ccc(-c3c(C)cc(C(F)(F)F)cc3O)nn2)C1,9.0
CCN1CCC[C@@H](Nc2nc3nc(-c4c(C)cc(Cl)cc4O)ccc3o2)C1,9.4
CCN1CCC[C@@H](Nc2nnc(-c3c(C)cc4c(c3O)CCC4)n(C)c2=O)C1.O=CO,8.31
CCN1CCC[C@@H](Nc2nnc(-c3c(C)cc4c(c3O)CCO4)n(C)c2=O)C1.O=CO,8.3
CCN1CCC[C@@H](Nc2nnc(-c3c(C)cc4c(c3O)CCO4)n(CC)c2=O)C1.O=CO,7.89
CCN1CCC[C@@H](Nc2nnc(-c3ccc(C(F)(F)F)cc3O)n3ccnc23)C1,8.06
CCN1CCC[C@@H](Nc2nnc(-c3ccc(Cl)cc3O)n(C)c2=O)C1,8.23
CCN1CCC[C@H](Nc2ccc(-c3c(C)cc(C(F)(F)F)cc3O)nn2)C1,9.1
CCN1CCC[C@H](Nc2nc3nc(-c4c(C)cc(Cl)c(F)c4O)ccc3o2)C1.O=C(O)C(F)(F)F,9.22
CCN1CCC[C@H](Nc2nc3nc(-c4c(C)cc(Cl)cc4O)ccc3o2)C1.O=C(O)C(F)(F)F,9.3
CCN1CCC[C@H](Nc2nnc(-c3c(O)cc4c(c3COC)CCC4)n(C)c2=O)C1,8.1
CCN1CCC[C@H](Nc2nnc(-c3ccc4c(c3O)CCO4)n(C)c2=O)C1,7.8
CCNc1cc2c(=O)n(CC(=O)Nc3ccc4nncn4c3)nc(C(C)C)n2n1,6.385
CCNc1nc2c(C(C)C)nn(CC(=O)Nc3ccc4nncn4c3)c(=O)c2s1,7.64
CCOC(=O)C(Cc1ccncn1)NC(=O)Nc1c2c(cc3c1CCC3)CCC2,5.17
CCOC(=O)C(Cc1ccnnc1)NC(=O)Nc1c2c(cc3c1CCC3)CCC2,5.22
